date,value
2023-01-01,0
2023-01-02,162.1
2023-01-03,111.0
2023-01-04,135.0
2023-01-05,143.8
2023-01-06,113.8
2023-01-07,0
2023-01-08,0
2023-01-09,122.8
2023-01-10,147.6
2023-01-11,152.7
2023-01-12,119.9
2023-01-13,109.6
2023-01-14,0
2023-01-15,0
2023-01-16,165.2
2023-01-17,131.4
2023-01-18,133.2
2023-01-19,126.9
2023-01-20,114.8
2023-01-21,0
2023-01-22,0
2023-01-23,158.7
2023-01-24,123.2
2023-01-25,159.9
2023-01-26,137.4
2023-01-27,133.4
2023-01-28,0
2023-01-29,0
2023-01-30,152.6
2023-01-31,144.5
2023-02-01,128.9
2023-02-02,143.4
2023-02-03,152.1
2023-02-04,0
2023-02-05,0
2023-02-06,154.5
2023-02-07,151.1
2023-02-08,149.1
2023-02-09,163.0
2023-02-10,138.9
2023-02-11,0
2023-02-12,0
2023-02-13,148.5
2023-02-14,150.5
2023-02-15,137.2
2023-02-16,158.7
2023-02-17,137.1
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,132.3
2023-02-22,149.7
2023-02-23,159.1
2023-02-24,134.5
2023-02-25,0
2023-02-26,0
2023-02-27,172.3
2023-02-28,177.7
2023-03-01,173.9
2023-03-02,162.5
2023-03-03,162.6
2023-03-04,0
2023-03-05,0
2023-03-06,180.3
2023-03-07,167.2
2023-03-08,161.5
2023-03-09,163.4
2023-03-10,177.7
2023-03-11,0
2023-03-12,0
2023-03-13,193.0
2023-03-14,180.0
2023-03-15,173.8
2023-03-16,191.3
2023-03-17,181.1
2023-03-18,0
2023-03-19,0
2023-03-20,199.5
2023-03-21,192.5
2023-03-22,164.1
2023-03-23,200.5
2023-03-24,194.6
2023-03-25,0
2023-03-26,0
2023-03-27,214.0
2023-03-28,199.0
2023-03-29,192.7
2023-03-30,195.6
2023-03-31,171.4
2023-04-01,0
2023-04-02,0
2023-04-03,219.1
2023-04-04,205.4
2023-04-05,206.5
2023-04-06,205.1
2023-04-07,180.9
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,222.1
2023-04-12,233.0
2023-04-13,204.3
2023-04-14,201.5
2023-04-15,0
2023-04-16,0
2023-04-17,234.6
2023-04-18,203.0
2023-04-19,242.9
2023-04-20,235.8
2023-04-21,200.4
2023-04-22,0
2023-04-23,0
2023-04-24,237.6
2023-04-25,215.3
2023-04-26,238.7
2023-04-27,226.2
2023-04-28,211.0
2023-04-29,0
